Name,Lat,Long
Donggong,23.020673,113.751799
Sasebo,33.2487196,129.736915
Amolatar,1.6054402,32.8084496
Sātkhira,22.3154812,89.1114525
Córdoba,0.8639157,-77.5529475
Tunbao,26.600973,104.8265942
Lephalale,-23.6845941,27.6808712
Havtsal,48.6618569,91.339774
Neuquén,-34.7277137,-58.3326356
Khursā,31.440961,34.99744
Cedynia,52.87925,14.20222
Huzhen,28.80901,120.26121
Sungai Nyamuk,4.1175121,117.8663075
Gangbei,23.11153,109.57224
Tanjungpecinan Utara,-7.6225762,114.0309608
Hufeng,29.710994,106.118868
Margita,45.2224944,21.1806058
Maru,11.3661846,6.3226072
Kitimat,54.0632737,-128.6369607
Novyy Starodub,48.5059863,33.1662988
Zilang,27.301177,105.537179
Qumudi,32.20076,79.18447
Lomme,50.6503044,2.9982752
Ipoh,4.5087894,101.0372376
Guiniculalay,7.65611,123.39139
Yuanling,28.452686,110.393844
Sumoto,34.440727,134.9171616
Luoshan,32.203072,114.513012
Bogoroditsk,53.771559,38.1392615
Kokemäki,61.2022597,22.2731105
Eystur,62.20907,-6.75247
Douniani,-11.4260053,43.2968632
Jasienica Rosielna,49.7442318,21.9201324
Rodniki,57.1068191,41.7340876
Tugu,-6.3621916,106.8502879
San Antonio,14.5508865,121.0075554
Sonsorol Village,5.3268119,132.2239117
Santo António das Areias,39.4110563,-7.349941
Mogok,22.9246742,96.5063095
Montpellier,43.6167208,3.8299106
Forshaga,59.5448264,13.5422638
Chengbei,36.650038,101.766228
Qalaikhumb,38.4613914,70.7896966
Světlá nad Sázavou,49.6680095,15.4039384
Tazouta,33.6722582,-4.6308305
Ereencav,49.8807,115.72526
Cijoho,-6.971971,108.4943751
Wotsogo,-6.8921158,111.6526577
Xiaowuzhan,45.730664,130.7788921
Postřelmov,49.9106966,16.9101736
Uusikaupunki,60.8110019,21.4457309
Chandmanĭ,45.3369621,97.9685657
Storuman,65.1047244,17.1227163
Gulrip’shi,42.9314238,41.1062184
Néa Palátia,38.3212968,23.7958162
Dazuo,25.700731,107.631177
Armenia,40.180793,44.5281754
Kulia Village,-6.10819,177.33393
Tangkou,30.070933,118.181531
São Miguel do Iguaçu,-25.3849055,-54.3030016
Chinoz,40.9463093,68.7512681
Xintian,25.904305,112.203287
Beranci,41.1575986,21.3571429
Alqueidão,39.384559,-8.6100623
Chalon-sur-Saône,46.791046,4.840663
Caijiapu,39.545488,117.416694
Kuantan,3.9671435,103.40391
Yamkino,55.931354,38.3911151
El Cocuy,6.408891,-72.4454499
Verrettes,19.0487026,-72.4701945
Horad Smalyavichy,54.0297214,28.0892299
Racławice,50.3256947,20.2370492
Gaoping,35.797997,112.92392
Rio Branco do Sul,-25.1860913,-49.3164138
Komatsushimachō,34.0108524,134.5849521
Yanyang,23.219932,102.835223
Belozërskoye,55.8240814,65.5756726
Toyonaka,34.1228075,134.5990156
Swindon,51.5487433,-1.7880953
Sungaigerong,-2.9505021,104.8746508
San Bernardino,34.1301599,-117.2690813
Neikeng,39.9041999,116.4073963
Springfield,37.235499,-93.2478638
Al Ibrāhīmīyah,30.71509,31.56241
Matango,-4.6633041,120.0141251
Uppsala,59.8419074,17.5964867
Nantes,47.2195152,-1.5651373
Seleuš,45.1201746,20.8993932
Nong Khai,17.8895907,102.579531
Mopti,14.4874284,-4.1974627
Luo’ao,29.549889,114.833005
Binguang,17.4666672,121.9833298
Lewisporte,49.24993,-55.04816
Saray,40.5323093,49.710366
Ýpsonas,34.6882288,32.9550349
Topdac,16.5552946,120.7109206
